cw	pmi_4	raw_4	freq
1974/CAR	-0.71427655	3	20935
1975/CAR	-1.8436521	1	21566
1976/CAR	-0.2031617	5	21108
1977/CAR	-1.782402	2	39500
1979/CAR	-1.988397	1	25013
1984/85/CAR	2.7837143	1	209
1984/CAR	-0.74807113	4	29314
1985/CAR	-0.59049374	5	31243
1989/CAR	-1.0028317	5	46829
1990/CAR	-1.2902154	5	62247
1990er/NN	0.21898551	1	2417
1991/CAR	-2.7953932	1	56601
1992/CAR	-1.4513917	4	59269
1994/CAR	-3.0239437	1	71734
1995/CAR	-0.7385188	11	79890
1996/CAR	-2.1229188	3	87760
1997/CAR	-2.2457721	3	99247
1998/CAR	-1.0842308	12	123766
1999-Krieg/NN	7.9449224	1	1
1999/CAR	-1.0767437	14	144007
19jährig/ADJ	2.2596433	2	662
1SFR/NE	7.9449224	1	1
1cl/NN	5.6805587	1	10
1grädiges/ADJ	7.9449224	1	1
1l/NN	3.1902552	1	134
12/ADJ	4.5313025	1	31
2,5/CAR	-0.06592468	4	13138
2,50/CAR	0.21733224	1	2662
2-/TRU	1.1782988	1	983
2./ADJ	-1.4626822	11	166574
2./ADV	-0.4517355	12	79919
2/3/CAR	1.2548957	4	3521
2/CAR	-0.7659928	104	744892
20-kg-Kapsel/NN	8.414927	1	1
20./ADJ	0.067667454	1	3040
20/CAR	-0.66139376	38	266466
200/CAR	0.72862995	35	53297
2000/CAR	-0.83145076	25	197284
2001:viele/VVF	7.9449224	1	1
2004-06-25T11:10:64+02:00/NE	7.9449224	1	1
2004-06-25T13:59:27+02:00/NE	7.9449224	2	2
2004-08-06T18:48:87+02:00/ADJ	7.9449224	1	1
2004-09-10T12:13:55+02:00/NE	7.9449224	3	3
2004-09-27T15:41:32+02:00/NE	7.9449224	3	3
2004-12-09T14:41:21+01:00/NE	8.414927	2	2
2004/VVF	4.90637	1	22
2005-01-17T16:12:20+01:00/NE	7.9449224	1	1
2005/CAR	-0.7055638	36	271463
200g/ADJ	2.545629	1	254
200mal/ADJ	4.7260466	1	27
200°/ADJ	4.2079973	4	193
200°/NE	6.9333215	1	3
200°C/NE	2.9833899	2	341
200°C/NN	5.5935473	1	12
200°C;Umluft/NN	7.9449224	1	1
200ø/ADJ	5.558456	1	13
209458b/NE	5.379973	1	15
21/CAR	-1.2283965	9	121979
210°/NE	8.232604	1	1
22-32°C/NN	7.9449224	1	1
22/CAR	-1.0474001	9	102653
220/CAR	-0.64774925	1	6315
220°C/NN	3.5141056	1	97
23.Mai/ADJ	3.7743888	1	74
23/CAR	-1.5419354	5	94436
24.Dossier/NN	9.331217	1	1
24/CAR	-0.51957554	17	110981
240/CAR	0.36775783	3	6762
2400/CAR	0.9778375	1	1242
25-Jährige/NN	1.8869681	1	516
25.000°/ADJ	7.9449224	1	1
25/CAR	-1.2515863	11	145405
2500/CAR	0.3622476	2	4363
250°C/NE	4.4870296	1	39
25:20-Auswärtsniederlage/NN	7.9449224	1	1
25jährig/ADJ	1.0842588	1	1064
26-jährig/ADJ	1.1863924	1	1008
26/CAR	-1.1764752	6	80494
26°C/NN	4.7411604	2	66
27/CAR	-0.97875917	7	77541
270/CAR	0.4291354	2	4319
28.November/ADJ	4.5109353	1	35
28/CAR	-1.1772035	6	81119
28°C/NE	4.5109353	2	78
29,6°C/NE	7.9449224	1	1
290°C/ADJ	7.9449224	1	1
29°/ADJ	4.756506	1	27
2:0-Sieg/NN	2.8942654	1	174
2:1-Erfolg/NN	3.3989716	1	101
2EL/ADJ	7.2517753	1	2
2cl/NE	5.0545506	1	20
2er/NN	2.0230088	1	413
2m/NE	2.7178326	1	207
2ooo/NE	3.237647	1	122
3'21/VVF	7.2517753	1	2
3,5/CAR	-0.37771466	2	8975
3-mal/ADV	2.7478075	1	197
3./ADJ	-0.7471986	22	171065
3/3/CAR	2.9014974	1	214
3/4/CAR	1.5209317	3	2043
3/8/CAR	2.9785874	1	162
3/CAR	-0.79311043	65	483556
30/CAR	-0.025012206	52	191293
300/CAR	-0.0045293467	12	37849
3000/CAR	-0.059846643	3	9932
3000°C/NN	6.84631	1	3
300°/ADJ	5.040757	1	20
300°C/NE	5.9217205	2	17
30Grad/NN	6.0925384	1	7
30er/ADJ	0.87845546	3	3718
30mal/VVF	4.980939	1	20
30°/ADJ	2.8224475	2	365
30°/VVF	4.8425803	2	50
30°C/NE	2.5673318	1	258
31/CAR	-1.3271009	5	78874
32/CAR	-0.4927791	7	39911
320/CAR	-0.33325186	1	4629
32°/ADJ	4.4003463	1	39
32°C/NN	4.0009165	1	67
33/CAR	-0.7640186	5	37991
33°/VVF	6.558628	1	5
34°C/VVP	7.4594145	1	2
35-36°C/NN	7.9449224	1	1
35/CAR	-0.040837023	15	55181
350/CAR	-0.044779256	3	9998
350°/NN	6.310792	1	6
35°./ADJ	7.9449224	4	4
35°/ADJ	4.232367	3	134
35°C/NE	4.571182	2	68
36/CAR	-0.5010701	6	34543
36°/VVI	7.9449224	1	1
37,6°/ADJ	7.9449224	1	1
37/CAR	-0.053796172	8	29986
37°C/NN	3.9582558	1	63
380/CAR	-0.103945725	1	3652
38øC/NE	8.232604	1	1
39/CAR	-0.8007699	4	32208
39°/ADJ	4.4408674	1	36
3:1-Finalsiegen/NN	7.3163137	1	2
3cm/NN	3.6324468	1	82
3km/NE	4.152246	1	56
3m/ADJ	4.5776267	1	32
3rd-Person-Shooter-Manier/NN	7.9449224	1	1
3x/NN	3.3818772	7	755
3°-5°/ADJ	7.9449224	1	1
3×10/VVF	7.9449224	1	1
4,2/CAR	0.36812055	1	2152
4,5/CAR	-0.6674218	1	6052
4./ADJ	-1.1211053	11	122756
4.5)./NE	6.1742163	1	6
4/5/CAR	1.6288866	1	640
4/CAR	-0.83563805	44	340822
40-60°C/NN	6.9333215	1	3
40-Jährigen/NN	2.3590794	1	289
40-Stunden-Woche/NN	1.7937868	1	538
40/CAR	0.008449363	32	104915
400/CAR	0.5951592	16	27643
4000/CAR	-0.6318831	1	5886
400g/ADJ	3.4150147	1	110
400°C/NE	6.0827823	2	15
40grad/NN	8.414927	2	2
40°/ADJ	3.8726957	4	262
40°C/NE	4.465993	5	180
41/CAR	-2.055862	1	27664
43/CAR	-2.0065455	1	26932
43:23-Sieg/NN	7.9449224	1	1
43°/ADJ	5.481069	1	14
44/CAR	-2.1729455	1	31187
440°/NN	8.078454	1	1
44°/ADJ	5.4191937	1	14
45-jährigen/ADJ	2.933454	1	155
45/CAR	0.5059809	22	46654
450/CAR	-0.07858901	2	6976
45°/NE	5.3148336	1	15
45°C/NE	6.0925384	5	35
46°/ADJ	5.617645	1	12
47/CAR	-1.1406693	2	22365
480°C/NN	6.84631	1	3
48°/VVF	6.2866945	1	6
48°C/NE	5.9300194	1	8
49-Jährigen/NN	2.8557842	1	176
4spurigen/ADJ	6.6231666	1	4
4x4/NN	2.8807464	1	179
4°C/NE	3.7998056	1	72
5,5/CAR	-0.12097112	1	3510
5-Liter-Isolierbehälter/NN	8.638069	1	1
5-Minuten-Terrine/NN	5.296976	1	17
5./ADJ	-1.040501	10	100706
5/CAR	-0.8243045	38	289056
50/CAR	-0.022307927	40	132016
500/CAR	0.062091917	15	44084
5000/CAR	-0.37838256	2	9122
50000/CAR	1.1580644	1	976
50000K/NN	7.9449224	1	1
5000°/ADJ	7.3163137	1	2
500°/ADJ	6.6921597	1	4
500°C/NE	5.9813128	1	8
50g/ADJ	3.242739	2	238
50km/NN	3.4354374	1	100
50°/ADJ	3.9993036	3	173
50°C/ADJ	5.558456	1	11
50°C/NE	4.5862846	2	64
50°C/NN	6.5278563	2	11
52°C/NE	7.106593	2	5
54-Jährige/ADJ	2.9418154	1	172
54/CAR	-1.7017517	1	19456
5400°/ADJ	7.9449224	1	1
55-jährigen/ADJ	3.091916	1	132
5500/CAR	2.288712	2	673
55000C/NN	8.414927	1	1
56-Jährige/NN	3.288584	1	126
5800/CAR	3.6778507	2	165
58°C/NE	7.2517753	1	2
5Minuten/NN	5.3148336	1	15
6./ADJ	-1.3773525	6	83257
6.000K/NE	7.9449224	1	1
6/CAR	-1.2892236	17	207258
60.000-Einwohner-Stadt/NN	6.558628	1	4
60/CAR	-0.053708773	23	79628
600/CAR	0.24482529	8	19647
6000°C/NN	7.6264687	1	3
60er/ADJ	-0.19364232	3	10906
60°/ADJ	3.3168905	2	223
60°C+-3°C/NE	8.414927	1	1
60°C/NE	4.576191	3	98
64/CAR	-1.6491911	1	18106
65/CAR	-2.0010977	1	25633
650/CAR	-0.13333936	1	3635
68/CAR	-0.375617	3	15473
68er/NN	1.1037077	2	2084
7./ADJ	-1.3986193	5	69891
7/CAR	-2.219982	5	154720
70/CAR	-0.022320203	15	50161
700/CAR	0.20475815	5	12804
7000/CAR	0.7575015	2	2926
70er/ADJ	-0.12889934	4	13614
70er/NN	1.0127184	1	1113
70iger/ADJ	2.6478558	1	210
70°/ADJ	4.556304	3	99
70°C/NE	5.4393964	4	55
72/CAR	-1.5649946	1	16642
74/CAR	-0.23452272	3	13546
74°/ADJ	6.6570683	1	5
74°C/NE	6.3354845	1	5
75-85°C/NN	8.078454	1	1
75/CAR	-1.0878799	3	29964
750/CAR	1.0444436	5	5577
75°/ADJ	4.6171923	1	30
75°C/NE	5.296976	1	16
78-Jährige/NN	3.6840045	1	82
78/CAR	-1.298756	1	13085
7eleven/NN	7.2517753	1	2
8(/VVF	5.111709	1	18
8/CAR	-1.4920374	10	148173
80/CAR	0.29251772	24	57971
800/CAR	0.2562953	7	17035
8000/CAR	1.1436857	3	3011
800MHz/ADJ	6.9798417	1	3
80er/ADJ	-0.88661605	2	14574
80°/ADJ	4.422245	2	75
80°C/NE	5.7532687	5	52
80°C/NN	6.558628	1	4
83/CAR	-1.1660948	1	11480
85/CAR	-1.0018755	2	18667
850/CAR	0.07580745	1	2908
85°/NE	7.9449224	1	1
85°/VVF	6.2401743	1	6
87F/NE	8.232604	1	1
89/CAR	-0.1812385	3	12560
8tung/NN	7.8271394	1	3
810/ADJ	5.296976	1	16
9./ADJ	-0.8276128	8	61778
9/CAR	-1.510367	8	121908
90-er/PPE	2.3943882	2	543
90/CAR	-0.53550303	9	49631
900/CAR	-0.97703564	1	8339
90er/ADJ	-1.5525311	1	14151
90°/ADJ	1.644366	1	605
90°C/NN	4.746249	1	28
90°F/NE	7.9449224	1	1
92/CAR	-0.58355683	2	12368
93/CAR	-0.55327904	2	12006
95°/ADJ	5.8397727	3	28
96-98°C/NE	8.232604	1	1
97/CAR	-0.7343258	2	14389
98/CAR	0.3038882	6	15164
99/CAR	-0.38148096	4	19824
99°C/NN	7.9449224	1	1
9jährig/ADJ	2.9890954	1	155
":""Ich/ADJ"	5.119089	1	18
:(/VVF	0.83290064	1	1341
:*/ADJ	4.9123764	1	32
:-(/$(	1.7088464	5	2855
:-/TRU	-0.0482913	8	27133
:-/VVP	1.5220814	1	684
:-?[/quote/NN	7.5394573	1	2
:-D/NN	0.7262875	1	1619
:-O/NN	3.5859268	7	632
:/$.	-0.24797696	824	7478139
:D/NE	-0.63373035	2	13174
:Erfasser/NE	3.4530144	3	481
:Erfasser/NN	3.6647902	3	501
:TD/NE	4.13826	1	138
:belehr/VVF	4.291023	1	83
:frage/NN	3.8443472	1	124
:gay/NE	6.805488	1	8
:o/NE	0.30798942	1	2424
;)./NE	4.2498126	1	42
;)Hier/NN	7.9449224	1	1
;-(/$(	2.2902427	1	326
;-/ADJ	1.4560975	2	1381
;-/TRU	0.15831871	9	24382
;-D/NN	4.1410418	1	50
;/$.	0.13278927	262	1434734
;D/ADJ	3.245579	1	124
;D/NE	2.0668366	1	449
</$(	-0.4850503	18	98743
=/$(	-1.3808025	10	122986
==/VVF	2.4335117	1	262
>/$(	-0.9233654	55	434859
?/$.	0.24721402	423	2091348
?regenreichsten/ADJ	7.9449224	1	1
?/ADJ	2.951942	1	153
?/VVF	3.216429	1	120
@/XY	-2.021352	1	26704
@Bauchfreie-Ruth/NE	7.9449224	1	1
@card@/CAR	-1.2095029	764	8972708
@ord@/ADJ	-1.6169811	6	101114
A-Jugend/NN	1.3997524	1	786
A-Z/NN	1.0108904	1	1220
A-ha/NN	4.108162	1	61
A..../NE	3.5898175	1	86
A./NE	-1.6126888	1	17120
A/NN	-1.24116	7	84097
A380-Testläufe/NN	7.9449224	1	1
ABS/NE	0.71209896	1	1568
AC/NE	0.38295573	1	2206
ACAYA/NE	7.3163137	1	2
ADAC-Verkehrsprognose/NN	3.2744327	1	158
ADAC/NE	-0.4163769	1	5088
AG/NN	-1.6252578	5	79450
AGR-Cup/NN	7.9449224	1	1
AIDS-Prävention/NN	3.0822072	1	147
AKW-Vorhaben/NN	6.84631	1	3
ALG/NN	0.49680698	2	3719
AM/NE	0.15422639	1	2845
AMD-Prozessor/NN	5.9990125	1	8
AMD/NE	1.0852419	2	2225
AMG/NE	1.2773297	1	874
ANDREAS/NE	2.5627236	1	300
AOL/NN	1.3482316	3	2463
ARD/NE	-1.3208526	1	12106
ARENA-Album/NN	7.5394573	1	2
AUA/NE	2.3929324	1	327
AVIVA-Berlin/NE	2.4874668	1	898
AWPfs/NN	8.414927	1	1
AZ/NE	0.3236048	1	3072
Aachen/NE	-0.441089	3	15154
Aachener/ADJ	0.7551417	2	2935
Aachener/NN	2.0203326	1	429
Aah/NE	4.5479	1	63
Aal-Stücke/NN	8.232604	1	1
Aal/NN	0.9064679	1	1314
Aalen-Wasseralfingen/NN	4.498911	1	57
Aar/NN	2.5853925	1	235
Aaron/NE	0.43032706	1	2211
Abb./NN	-1.0973543	1	13773
Abb/NE	0.36072117	1	4096
Abbau/NN	-1.8000529	1	18317
Abbildung/NN	-2.002845	1	27558
Abbitte/NN	2.7737284	1	210
Abbrand-Temperaturen/NN	8.078454	1	1
Abbrand/NN	2.4601254	1	296
Abby/NN	2.3322506	1	314
Abdeckung/NN	0.9303327	2	2444
Abdichtung/NN	2.2549853	2	651
Abdullah/NE	0.58370584	1	1795
Abeles/VVF	7.9449224	1	1
Abend/NN	0.7773842	53	78758
Abendbrot/NN	1.181615	1	1013
Abendesse/NN	-0.32372928	2	9402
Abendessen/NN	2.7533555	1	197
Abendland/NN	-0.012473713	1	3219
Abendsonne/NN	2.9460223	3	506
Abendstimmung/NN	2.932622	1	188
Abendveranstaltung/NN	1.355824	1	836
Abenteuer/NN	0.73972994	13	20088
Abenteurer/NN	0.079830445	1	2897
Abfahrt/NN	0.6731536	4	6737
Abfall/NN	0.17617773	6	15409
Abfallbehälter/NN	2.881273	3	521
Abflauen/NN	3.5126185	2	182
Abflug/NN	0.40224513	1	2129
Abführen/NN	3.700005	1	82
Abfüllen/NN	2.6674457	1	210
Abgang/NN	1.4047947	5	3954
Abgas/NN	3.2993848	22	2512
Abgaskrümmern/NN	7.4594145	1	2
Abgasstrahl/NN	5.9468265	2	16
Abgasströmen/NN	6.558628	1	4
Abgeben/NN	3.406961	2	208
Abgeordnete/NN	-2.5613875	1	40486
Abgeordnetenhaus/NN	-0.5343872	1	5346
Abgießen/NN	4.612718	2	95
Abgrund/NN	-0.80933696	1	7130
Abhang/NN	1.0510125	1	1084
Abi-Phase/NN	7.4594145	1	2
Abidjan/NE	2.517223	1	255
Abigail/NE	2.2407234	1	397
Abika/NN	7.9449224	3	3
Abitur/NN	-1.2981392	1	11712
Abiturphase/NN	6.558628	1	4
Abklingbecken/NN	4.2313504	1	45
Abkomme/NN	-0.9883296	2	16607
Abkunft/NN	2.4816203	1	257
Abkühlen/NN	2.7327077	3	784
Abkühlung/NN	3.651727	20	1685
Ablagerung/NN	0.3124002	1	2267
Ablassschraube/NN	6.310792	4	25
Ablauf/NN	-2.701154	1	45517
Ablaufenlassen/NN	5.0004835	1	19
Abluft/NN	2.083424	1	389
Ablöse/NN	1.473736	1	724
Abnehmen/NN	0.54920083	1	1968
Abner/NE	2.4498055	1	298
Abpfiff/NN	1.3392862	1	841
Abpraller/NN	2.5901065	1	228
Abraham/NE	-0.95211035	1	8552
Abriß/NN	-0.54479676	1	5388
Abrundung/NN	1.6105332	1	639
Abrüstung/NN	0.46340194	2	3949
Absatz/NN	-2.5214844	2	74908
Absatzgruppe/NN	6.6570683	1	4
Abschaffung/NN	-0.45813107	3	14547
Abschied/NN	-0.79333216	2	14519
Abschiedskuß/NN	3.8037739	1	75
Abschiedsspiel/NN	2.8187287	1	190
Abschlussszene/NN	6.2866945	1	6
Abschlusszeugnissen/NN	4.3614035	1	39
Abschluß/NN	-2.4002256	2	69926
Abschlußbericht/NN	0.06947063	1	3124
Abschlußgespräch/NN	3.2230809	1	136
Abschlußgottesdienst/NN	2.7293077	1	216
Abschlußprüfung/NN	0.37733978	3	6350
Abschmelzen/NN	2.2587948	1	319
Abschneiden/NN	0.19673206	1	2492
Abschnitt/NN	-2.687553	1	48772
Abschrecken/NN	3.9746306	1	72
Absicht/NN	-2.3868308	1	33341
Absolvent/NN	-0.19333804	3	11233
Abspritzen/NN	4.0009165	1	56
Abspülen/NN	4.1410418	2	108
Abstakt/NN	7.6264687	1	2
Abstand/NN	-1.0783614	4	35824
Abstecher/NN	0.2480282	1	2398
Abstellfläche/NN	3.9307942	2	123
Abstellgleis/NN	2.0855618	1	417
Abstieg/NN	0.107910834	2	5794
Abstiegskampf/NN	2.0230088	2	878
Abstiegskandidat/NN	3.7714972	4	291
Abstimmung/NN	-0.749318	4	26334
Abstimmungstermin/NN	5.3515353	2	29
Absturz/NN	-0.467882	1	5093
Abstützen/NN	3.8526633	1	69
Abszess/NN	3.019482	1	156
Abtasten/NN	2.0553522	1	409
Abteilung/NN	-2.469992	1	36219
Abteilungsleiter/NN	-0.12144212	1	3478
Abtreibung/NN	0.059828352	2	5959
Abtropfen/NN	5.1762476	6	148
Abtötung/NN	2.5405574	1	234
Abu-Dhabi-Einsatz/NN	7.9449224	5	5
Abwasch/NN	2.2884936	1	332
Abwaschbecken/NN	5.6055236	1	11
Abwaschwasser/NN	5.775869	2	22
Abwechslung/NN	-0.77977264	1	7220
Abwehrkraft/NN	0.9974658	1	1174
Abwehrseite/NN	3.3702114	1	109
Abwesenheit/NN	-0.9917538	1	8197
Abwinken/NN	2.2981513	1	345
Abwässer/NN	1.9721736	3	1288
Abwässern/NN	2.0574305	1	386
Abzeichen/NN	1.0742202	1	1088
Abziehen/NN	2.4214635	1	287
Abzug/NN	-0.9257318	2	15413
Abzugsluft/NN	8.232604	1	1
Academy/NE	0.20643431	1	2453
Acanthamoeba/NE	7.6264687	2	3
Access/NN	0.6047356	1	1709
Accessoire/NN	0.82478124	1	1398
Accor/NN	2.7596338	1	211
Ace/NE	1.9638239	1	507
Achja/NE	1.8221555	1	846
Achse/NN	-0.20185904	2	7598
Acht/NN	0.53732663	3	5573
Achte/NN	0.4186088	1	2233
Achtelfinal-Duell/NN	6.3354845	1	5
Achtelfinal-Runde/NN	7.9449224	1	1
Achtelfinal-Teilnahme/NN	6.6921597	1	4
Achtelfinale/NN	2.1547074	3	1138
Achterbahn-ähnliche/ADJ	7.9449224	1	1
Achterbahn/NN	1.2237979	1	961
Achterbahnwagen/NN	6.9798417	1	3
Achtung/NN	-0.35241348	3	19747
Acid/NN	3.0113482	1	160
Ackermann/NE	0.23236679	1	2741
Acryl/NE	2.1618667	1	355
Acrylfasern/NN	7.4594145	1	2
Act/NE	0.4498667	1	1938
Act/NN	2.3105793	3	905
Action-Streife/NN	4.1721616	1	50
Action-Thriller/NN	3.6391695	1	110
Action/NN	1.8248081	15	7818
Acts/NN	1.4625798	1	713
Ad-hoc-Mitteilungen/NN	3.180614	1	129
Adam/NE	-0.17155996	4	15718
Adaption/NN	0.7322593	1	1493
Adderley/NE	4.731059	1	27
Adelheid/NE	1.0114994	1	1266
Adelige/NN	0.9191619	1	1228
Ademar/NE	4.292642	2	88
Aden/NE	3.2297773	3	372
Adenin/NN	3.6682563	1	81
Adentro/NE	3.721745	1	75
Ader/NN	1.4782432	4	2866
